,Valeur fonciere,Nombre pieces principales,Surface reelle bati
1098223,145200.0,3.0,56.0
1098225,172000.0,2.0,56.0
1098230,128000.0,2.0,55.0
1098238,234400.0,4.0,80.0
1098242,257000.0,2.0,51.0
1098246,50000.0,1.0,26.0
1098266,300850.0,2.0,43.0
1098275,177000.0,4.0,82.0
1098279,62800.0,2.0,49.0
1098297,350000.0,3.0,84.0
1098308,225000.0,3.0,66.0
1098329,454931.0,5.0,113.0
1098334,109900.0,1.0,31.0
1098359,206250.0,3.0,59.0
1098361,91000.0,4.0,66.0
1098365,57175.0,1.0,30.0
1098371,1000000.0,5.0,130.0
1098372,1000000.0,2.0,60.0
1098376,1000000.0,5.0,130.0
1098377,1000000.0,2.0,60.0
1098378,131100.0,1.0,19.0
1098387,211000.0,2.0,38.0
1098390,458900.0,4.0,119.0
1098393,133500.0,2.0,52.0
1098395,285000.0,1.0,48.0
1098398,74000.0,1.0,19.0
1098412,222000.0,3.0,62.0
1098415,124700.0,4.0,64.0
1098420,185800.0,2.0,52.0
1098423,155000.0,2.0,41.0
1098424,98485.0,1.0,32.0
1098446,204000.0,5.0,78.0
1098451,184466.0,3.0,57.0
1098455,153491.0,1.0,33.0
1098461,250000.0,3.0,73.0
1098463,178000.0,3.0,65.0
1098473,100000.0,4.0,89.0
1098490,65000.0,5.0,89.0
1098491,329000.0,4.0,109.0
1098499,208380.0,2.0,44.0
1098511,168000.0,1.0,29.0
1098513,115830.0,2.0,41.0
1098515,182800.0,2.0,54.0
1098517,196000.0,3.0,64.0
1098524,155000.0,2.0,49.0
1098531,155000.0,2.0,51.0
1098533,508940.0,4.0,88.0
1098538,177000.0,2.0,40.0
1098569,224660.0,4.0,58.0
1098571,176000.0,2.0,36.0
1098572,79500.0,1.0,16.0
1098583,135000.0,3.0,57.0
1098597,95000.0,2.0,45.0
1098599,135000.0,2.0,34.0
1098600,283000.0,3.0,72.0
1098610,297200.0,4.0,88.0
1098613,272000.0,3.0,62.0
1098629,184000.0,4.0,79.0
1098633,231600.0,2.0,55.0
1098635,115500.0,2.0,40.0
1098639,158000.0,3.0,59.0
1098645,142000.0,4.0,66.0
1098649,237944.0,4.0,85.0
1098653,175000.0,3.0,59.0
1098656,250000.0,2.0,23.0
1098657,250000.0,2.0,23.0
1098661,158000.0,2.0,40.0
1098668,175000.0,3.0,53.0
1098675,99900.0,4.0,81.0
1098677,105000.0,2.0,40.0
1098682,140000.0,2.0,36.0
1098701,224800.0,4.0,74.0
1098706,139500.0,3.0,51.0
1098707,143440.0,2.0,48.0
1098717,354000.0,3.0,75.0
1098720,255500.0,2.0,57.0
1098723,94000.0,1.0,19.0
1098726,145000.0,2.0,51.0
1098732,165000.0,2.0,32.0
1098736,115000.0,2.0,41.0
1098739,169000.0,3.0,66.0
1098746,715758.3,2.0,44.0
1098747,715758.3,2.0,44.0
1098748,715758.3,2.0,41.0
1098749,715758.3,2.0,44.0
1098750,715758.3,3.0,60.0
1098751,715758.3,2.0,38.0
1098753,715758.3,2.0,44.0
1098754,715758.3,3.0,63.0
1098759,168500.0,2.0,50.0
1098761,157600.0,2.0,27.0
1098768,160500.0,2.0,52.0
1098772,256000.0,3.0,77.0
1098812,215500.0,2.0,49.0
1098813,232000.0,2.0,41.0
1098814,167200.0,2.0,33.0
1098824,125000.0,1.0,24.0
1098826,104750.0,1.0,22.0
1098829,207530.0,3.0,64.0
1098842,135000.0,2.0,42.0
1098846,96000.0,2.0,39.0
1098851,239520.0,3.0,56.0
1098855,515000.0,3.0,99.0
1098856,180000.0,2.0,35.0
1098857,335950.0,3.0,65.0
1098880,135601.0,2.0,53.0
1098890,124020.0,2.0,55.0
1098897,305000.0,4.0,78.0
1098901,265000.0,3.0,85.0
1098904,96000.0,4.0,73.0
1098908,125000.0,2.0,36.0
1098909,250000.0,4.0,68.0
1098912,171331.05,3.0,52.0
1098915,210000.0,3.0,67.0
1098924,128000.0,2.0,48.0
1098926,88900.0,1.0,18.0
1098934,407500.0,4.0,69.0
1098947,85000.0,1.0,20.0
1098959,92000.0,1.0,21.0
1098977,188100.0,4.0,80.0
1098996,860000.0,4.0,122.0
1099014,104920.0,1.0,24.0
1099021,270000.0,3.0,53.0
1099028,171566.0,2.0,42.0
